A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,class
less-200DM,[4.0-15.5),'critical','used-car',[250.0-3554.0),'less500DM','one-year',[1.0-3.5),'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'critical','furniture',[250.0-3554.0),'unknown','four-years',[1.0-3.5),'married-male','none',[1.0-1.5),'car',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'yes','no','good.'
0DM,[4.0-15.5),'duly-till-now','furniture',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'real-estate',[25.5-75.0],'bank','own',[1.0-1.5),'unskilled-resident',[1.0-1.5),'no','yes','good.'
no-account,[4.0-15.5),'all-paid-duly','radio-tv',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'married-male','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
over-200DM,[4.0-15.5),'bank-paid-duly','radio-tv',[250.0-3554.0),'over1000DM','four-years',[1.0-3.5),'female-divorced','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','rent',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'single-male','guarantor',[1.5-2.5),'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'delay','business',[3913.5-18424.0],'less100DM','over-seven',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'no','yes','bad.'
less-200DM,[15.5-72.0],'duly-till-now','business',[250.0-3554.0),'over1000DM','one-year',[1.0-3.5),'married-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'bank','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
0DM,[15.5-72.0],'duly-till-now','furniture',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[25.5-75.0],'stores','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'duly-till-now','new-car',[3913.5-18424.0],'less500DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'no','yes','good.'
no-account,[4.0-15.5),'critical','business',[250.0-3554.0),'unknown','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','rent',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
over-200DM,[4.0-15.5),'duly-till-now','furniture',[250.0-3554.0),'less100DM','one-year',[3.5-4.0],'female-divorced','none',[1.0-1.5),'building-society',[25.5-75.0],'bank','own',[1.0-1.5),'management',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'critical','radio-tv',[3913.5-18424.0],'less100DM','one-year',[3.5-4.0],'single-male','none',[1.5-2.5),'building-society',[19.0-25.5),'none','own',[1.5-4.0],'unskilled-resident',[1.0-1.5),'yes','yes','bad.'
no-account,[15.5-72.0],'critical','education',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'bank','free',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
over-200DM,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','four-years',[3.5-4.0],'single-male','co-applicant',[1.5-2.5),'real-estate',[25.5-75.0],'stores','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','bad.'
over-200DM,[4.0-15.5),'duly-till-now','domestic-app',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','four-years',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'less1000DM','over-seven',[3.5-4.0],'single-male','none',[1.5-2.5),'car',[25.5-75.0],'bank','own',[1.0-1.5),'management',[1.0-1.5),'yes','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less1000DM','four-years',[1.0-3.5),'male-divorced','none',[1.0-1.5),'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'delay','repairs',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'unskilled-resident',[1.5-2.0],'no','yes','good.'
0DM,[15.5-72.0],'critical','used-car',[3913.5-18424.0],'less500DM','seven-years',[1.0-3.5),'married-male','none',[2.5-4.0],'car',[19.0-25.5),'none','rent',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'critical','used-car',[3913.5-18424.0],'less100DM','over-seven',[3.5-4.0],'female-divorced','none',[2.5-4.0],'none',[25.5-75.0],'stores','free',[1.5-4.0],'unskilled-resident',[1.0-1.5),'yes','yes','bad.'
no-account,[4.0-15.5),'critical','new-car',[250.0-3554.0),'less100DM','one-year',[3.5-4.0],'female-divorced','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.5-4.0],'management',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'less1000DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
0DM,[4.0-15.5),'duly-till-now','used-car',[250.0-3554.0),'less1000DM','unemployed',[1.0-3.5),'female-divorced','none',[1.5-2.5),'building-society',[19.0-25.5),'none','rent',[1.0-1.5),'unemployed-non-resident',[1.0-1.5),'no','yes','good.'
no-account,[4.0-15.5),'critical','new-car',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'none','own',[1.5-4.0],'unskilled-resident',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less500DM','four-years',[3.5-4.0],'female-divorced','co-applicant',[1.5-2.5),'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'delay','furniture',[250.0-3554.0),'unknown','one-year',[3.5-4.0],'single-male','none',[1.5-2.5),'building-society',[25.5-75.0],'bank','own',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'delay','used-car',[3913.5-18424.0],'less100DM','over-seven',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[25.5-75.0],'none','own',[1.5-4.0],'management',[1.0-1.5),'no','yes','good.'
no-account,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','used-car',[250.0-3554.0),'unknown','four-years',[1.0-3.5),'single-male','none',[1.0-1.5),'building-society',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'delay','new-car',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'bank','free',[1.5-4.0],'skilled',[1.0-1.5),'no','yes','bad.'
no-account,[4.0-15.5),'bank-paid-duly','new-car',[250.0-3554.0),'unknown','four-years',[1.0-3.5),'single-male','guarantor',[1.5-2.5),'real-estate',[25.5-75.0],'stores','own',[1.0-1.5),'unskilled-resident',[1.5-2.0],'yes','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','radio-tv',[3913.5-18424.0],'unknown','unemployed',[1.0-3.5),'single-male','none',[1.0-1.5),'none',[25.5-75.0],'none','own',[1.0-1.5),'management',[1.0-1.5),'no','yes','bad.'
no-account,[15.5-72.0],'critical','radio-tv',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'female-divorced','none',[1.5-2.5),'car',[25.5-75.0],'stores','own',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','good.'
over-200DM,[15.5-72.0],'duly-till-now','new-car',[250.0-3554.0),'less100DM','over-seven',[1.0-3.5),'female-divorced','none',[1.5-2.5),'car',[19.0-25.5),'none','own',[1.0-1.5),'management',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'critical','furniture',[3913.5-18424.0],'less100DM','one-year',[3.5-4.0],'female-divorced','co-applicant',[2.5-4.0],'none',[19.0-25.5),'none','rent',[1.5-4.0],'unskilled-resident',[1.0-1.5),'no','yes','bad.'
less-200DM,[4.0-15.5),'duly-till-now','business',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'married-male','none',[1.0-1.5),'real-estate',[25.5-75.0],'bank','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[4.0-15.5),'critical','radio-tv',[250.0-3554.0),'unknown','over-seven',[3.5-4.0],'single-male','guarantor',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'all-paid-duly','business',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','free',[1.0-1.5),'management',[1.0-1.5),'no','yes','bad.'
less-200DM,[15.5-72.0],'all-paid-duly','business',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','bad.'
no-account,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','one-year',[3.5-4.0],'female-divorced','none',[2.5-4.0],'building-society',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
no-account,[15.5-72.0],'duly-till-now','repairs',[3913.5-18424.0],'unknown','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.5-2.0],'no','yes','good.'
no-account,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','one-year',[1.0-3.5),'female-divorced','none',[1.5-2.5),'car',[25.5-75.0],'bank','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','new-car',[250.0-3554.0),'over1000DM','four-years',[3.5-4.0],'married-male','none',[1.0-1.5),'real-estate',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','education',[250.0-3554.0),'less100DM','four-years',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'stores','free',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','bad.'
no-account,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'unknown','four-years',[3.5-4.0],'female-divorced','none',[2.5-4.0],'car',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','used-car',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'female-divorced','none',[1.5-2.5),'building-society',[25.5-75.0],'bank','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'critical','radio-tv',[250.0-3554.0),'unknown','over-seven',[3.5-4.0],'single-male','none',[1.5-2.5),'building-society',[25.5-75.0],'none','rent',[1.5-4.0],'unskilled-resident',[1.0-1.5),'no','yes','good.'
0DM,[4.0-15.5),'critical','others',[250.0-3554.0),'less100DM','over-seven',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'bank','free',[1.5-4.0],'management',[1.5-2.0],'no','yes','good.'
less-200DM,[15.5-72.0],'critical','business',[3913.5-18424.0],'less100DM','seven-years',[1.0-3.5),'female-divorced','none',[1.0-1.5),'real-estate',[25.5-75.0],'bank','own',[1.5-4.0],'unskilled-resident',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'duly-till-now','education',[250.0-3554.0),'unknown','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','own',[1.0-1.5),'management',[1.0-1.5),'no','yes','bad.'
0DM,[4.0-15.5),'critical','used-car',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','free',[1.5-4.0],'management',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'duly-till-now','radio-tv',[3913.5-18424.0],'less100DM','one-year',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','bad.'
less-200DM,[4.0-15.5),'delay','radio-tv',[3913.5-18424.0],'less100DM','seven-years',[1.0-3.5),'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'all-paid-duly','used-car',[3913.5-18424.0],'unknown','four-years',[1.0-3.5),'single-male','none',[1.5-2.5),'building-society',[25.5-75.0],'none','own',[1.0-1.5),'unskilled-resident',[1.5-2.0],'yes','yes','good.'
less-200DM,[15.5-72.0],'duly-till-now','furniture',[3554.0-3913.5),'less100DM','one-year',[1.0-3.5),'married-male','none',[1.0-1.5),'building-society',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[15.5-72.0],'duly-till-now','radio-tv',[3913.5-18424.0],'unknown','one-year',[1.0-3.5),'female-divorced','none',[1.0-1.5),'car',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'no','yes','bad.'
no-account,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less1000DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'stores','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
no-account,[15.5-72.0],'duly-till-now','business',[250.0-3554.0),'less500DM','four-years',[1.0-3.5),'female-divorced','none',[2.5-4.0],'building-society',[19.0-25.5),'none','rent',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'duly-till-now','others',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'female-divorced','guarantor',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'unskilled-resident',[1.0-1.5),'no','yes','good.'
0DM,[4.0-15.5),'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','over-seven',[1.0-3.5),'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'critical','business',[250.0-3554.0),'less100DM','four-years',[3.5-4.0],'female-divorced','guarantor',[1.5-2.5),'real-estate',[25.5-75.0],'none','own',[1.5-4.0],'management',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'critical','furniture',[250.0-3554.0),'less100DM','one-year',[3.5-4.0],'female-divorced','none',[1.0-1.5),'building-society',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'duly-till-now','education',[3913.5-18424.0],'less500DM','four-years',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','free',[1.0-1.5),'skilled',[1.5-2.0],'no','yes','bad.'
0DM,[15.5-72.0],'duly-till-now','new-car',[250.0-3554.0),'less500DM','seven-years',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.0-1.5),'management',[1.5-2.0],'no','yes','good.'
0DM,[4.0-15.5),'all-paid-duly','repairs',[250.0-3554.0),'less100DM','seven-years',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','bad.'
no-account,[4.0-15.5),'critical','radio-tv',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
0DM,[4.0-15.5),'critical','used-car',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'critical','radio-tv',[250.0-3554.0),'unknown','over-seven',[3.5-4.0],'female-divorced','none',[2.5-4.0],'building-society',[25.5-75.0],'bank','own',[1.0-1.5),'unskilled-resident',[1.5-2.0],'yes','yes','bad.'
over-200DM,[15.5-72.0],'critical','furniture',[3554.0-3913.5),'unknown','over-seven',[3.5-4.0],'single-male','co-applicant',[2.5-4.0],'none',[19.0-25.5),'none','rent',[1.5-4.0],'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[4.0-15.5),'duly-till-now','new-car',[250.0-3554.0),'over1000DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'all-paid-duly','business',[3913.5-18424.0],'less100DM','one-year',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'none','rent',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','bad.'
no-account,[4.0-15.5),'critical','education',[250.0-3554.0),'unknown','seven-years',[3.5-4.0],'female-divorced','none',[1.5-2.5),'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'duly-till-now','business',[250.0-3554.0),'less500DM','four-years',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'critical','radio-tv',[250.0-3554.0),'less100DM','over-seven',[3.5-4.0],'single-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'delay','used-car',[3913.5-18424.0],'unknown','seven-years',[1.0-3.5),'single-male','none',[2.5-4.0],'building-society',[25.5-75.0],'bank','rent',[1.5-4.0],'management',[1.5-2.0],'no','yes','good.'
no-account,[15.5-72.0],'duly-till-now','new-car',[250.0-3554.0),'less500DM','over-seven',[3.5-4.0],'married-male','none',[2.5-4.0],'real-estate',[25.5-75.0],'none','rent',[1.0-1.5),'unskilled-resident',[1.0-1.5),'yes','yes','good.'
less-200DM,[15.5-72.0],'duly-till-now','radio-tv',[250.0-3554.0),'less100DM','seven-years',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[19.0-25.5),'none','rent',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
no-account,[4.0-15.5),'delay','radio-tv',[250.0-3554.0),'less100DM','four-years',[1.0-3.5),'female-divorced','none',[1.5-2.5),'real-estate',[19.0-25.5),'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
less-200DM,[4.0-15.5),'critical','furniture',[250.0-3554.0),'less100DM','seven-years',[3.5-4.0],'single-male','none',[2.5-4.0],'car',[25.5-75.0],'none','rent',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
no-account,[4.0-15.5),'duly-till-now','used-car',[250.0-3554.0),'unknown','one-year',[1.0-3.5),'married-male','none',[2.5-4.0],'car',[25.5-75.0],'none','rent',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[15.5-72.0],'critical','others',[3913.5-18424.0],'less100DM','four-years',[1.0-3.5),'single-male','co-applicant',[2.5-4.0],'car',[25.5-75.0],'none','own',[1.5-4.0],'management',[1.5-2.0],'no','yes','bad.'
no-account,[15.5-72.0],'bank-paid-duly','new-car',[3913.5-18424.0],'less100DM','over-seven',[1.0-3.5),'single-male','none',[2.5-4.0],'none',[25.5-75.0],'bank','own',[1.5-4.0],'management',[1.5-2.0],'no','yes','bad.'
less-200DM,[4.0-15.5),'duly-till-now','new-car',[3913.5-18424.0],'less100DM','seven-years',[1.0-3.5),'single-male','none',[1.5-2.5),'car',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'yes','yes','good.'
0DM,[15.5-72.0],'duly-till-now','furniture',[3913.5-18424.0],'unknown','one-year',[1.0-3.5),'female-divorced','none',[1.5-2.5),'building-society',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','no','good.'
less-200DM,[4.0-15.5),'duly-till-now','business',[250.0-3554.0),'less1000DM','over-seven',[1.0-3.5),'married-male','none',[1.5-2.5),'real-estate',[25.5-75.0],'none','own',[1.0-1.5),'skilled',[1.0-1.5),'no','yes','good.'
less-200DM,[4.0-15.5),'delay','business',[250.0-3554.0),'less500DM','over-seven',[1.0-3.5),'male-divorced','none',[1.5-2.5),'car',[25.5-75.0],'bank','own',[1.5-4.0],'skilled',[1.5-2.0],'yes','yes','good.'
